operation,model,max_slots,poly_degree,q0_bits,sf_bits,hw,warmups,measured_runs,omp_threads,dsl_fast_compile_status,cpp_baseline_compile_status,metakernel_fast_compile_status,dsl_fast_runtime_median_seconds,cpp_baseline_runtime_median_seconds,metakernel_fast_runtime_median_seconds,dsl_vs_cpp_runtime_ratio,dsl_vs_cpp_runtime_gap_percent,dsl_vs_metakernel_runtime_ratio,dsl_vs_metakernel_runtime_gap_percent,dsl_fast_max_expected_abs_error,cpp_baseline_max_expected_abs_error,metakernel_fast_max_expected_abs_error,max_cross_path_abs_difference,max_cross_path_pair,fallbacks,source_summary
conv,i16x32x32_ci16_co16_k3p1s1,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,1.908577,,1.861656,,,1.025203904480742,2.5203904480741945,6.8197548129533825e-09,,6.819656738626945e-09,1.3038979618240631e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
conv,i16x32x32_ci16_co32_k1p0s2,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,3.848792,,3.747676,,,1.0269809876841007,2.6980987684100732,5.968438226283679e-10,,5.968449835920542e-10,2.846270961975872e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
conv,i16x32x32_ci16_co32_k3p1s2,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,5.611988,,5.900709,,,0.9510701171672761,-4.892988283272393,6.712012272369616e-09,,6.711999265412993e-09,2.5828804427283775e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
conv,i32x16x16_ci32_co32_k3p1s1,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,3.463903,,3.478295,,,0.9958623406007828,-0.4137659399217175,1.1024258120967412e-08,,1.102425732646406e-08,1.221869935959241e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
conv,i32x16x16_ci32_co64_k1p0s2,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,3.841926,,3.84817,,,0.9983774105613837,-0.1622589438616262,9.221778956777782e-10,,9.222085777318978e-10,2.532704650387921e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
conv,i32x16x16_ci32_co64_k3p1s2,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,8.706462,,8.844064,,,0.9844413156666438,-1.5558684333356165,1.2268230820122739e-08,,1.226825264988296e-08,1.9053101110722004e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
conv,i64x16x16_ci64_co128_k3p1s1,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,6.719896,,6.553905,,,1.0253270378499535,2.5327037849953493,1.2560133182647204e-08,,1.2560245501655465e-08,7.47657144528624e-13,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
conv,i64x8x8_ci64_co64_k3p1s1,32768,65536,60,56,192,1,3,1,PASS,NOT_RUN,PASS,6.45123,,6.680366,,,0.9657000828996495,-3.429991710035052,1.5119637803914787e-08,,1.5119785189490753e-08,1.0454692667138943e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/conv/summary.json
gemm,i64_o10,32768,65536,60,56,192,2,7,1,PASS,NOT_RUN,PASS,0.383485,,0.376666,,,1.018103571864729,1.8103571864729107,1.2019235190452449e-08,,1.2018942729952187e-08,1.588052606082968e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/gemm/summary.json
gemm,i512_o10,32768,65536,60,56,192,2,7,1,PASS,NOT_RUN,PASS,0.451167,,0.449414,,,1.0039006350491975,0.3900635049197465,2.274069201002593e-08,,2.274085691977845e-08,1.4770407119613083e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/gemm/summary.json
gemm,i4096_o10,32768,65536,60,56,192,2,7,1,PASS,NOT_RUN,PASS,0.523437,,0.528304,,,0.9907875011357098,-0.9212498864290208,2.0333146256122647e-08,,2.0332785938010495e-08,2.2959793788412952e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/gemm/summary.json
gemm,gemmh10w4096,32768,65536,60,56,192,2,7,1,PASS,NOT_RUN,PASS,0.521277,,0.516495,,,1.0092585601022275,0.9258560102227475,1.756374267899985e-08,,1.7563344122811797e-08,1.7227018422882878e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/gemm/summary.json
gemm,i1024_o4096,32768,65536,60,56,192,2,7,1,PASS,NOT_RUN,PASS,3.503613,,3.5423,,,0.9890785647742992,-1.092143522570077,4.834030303824122e-08,,4.834037189982432e-08,4.904278372297455e-12,dsl-fast__metakernel-fast,0,tmp_conv_gemm_resnet_context_fast_20260816/gemm/summary.json
